"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 00:00","2021","02","01","00:00","-23.5","","-25.8","","81","","","","9","","4","","","","101.50","","","","-27","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 01:00","2021","02","01","01:00","-23.5","","-25.6","","84","","","","11","","2","","","","101.47","","","","-25","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 02:00","2021","02","01","02:00","-24.0","","-26.2","","82","","","","7","","2","","","","101.46","","","","-26","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 03:00","2021","02","01","03:00","-23.5","","-26.2","","79","","","","4","","5","","","","101.42","","","","-28","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 04:00","2021","02","01","04:00","-23.2","","-25.7","","80","","","","6","","5","","","","101.39","","","","-28","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 05:00","2021","02","01","05:00","-21.9","","-24.8","","77","","","","6","","7","","","","101.37","","","","-28","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 06:00","2021","02","01","06:00","-23.9","","-26.3","","80","","","","8","","3","","","","101.39","","","","-27","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 07:00","2021","02","01","07:00","-25.1","","-27.8","","78","","","","","","0","","","","101.39","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 08:00","2021","02","01","08:00","-23.7","","-26.5","","78","","","","30","","3","","","","101.41","","","","-27","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 09:00","2021","02","01","09:00","-19.6","","-22.9","","76","","","","2","","1","","","","101.38","","","","-20","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 10:00","2021","02","01","10:00","-14.6","","-20.7","","60","","","","11","","6","","","","101.36","","","","-19","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 11:00","2021","02","01","11:00","-11.8","","-18.3","","58","","","","8","","11","","","","101.31","","","","-18","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 12:00","2021","02","01","12:00","-9.5","","-17.1","","54","","","","6","","13","","","","101.19","","","","-16","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 13:00","2021","02","01","13:00","-8.5","","-16.0","","55","","","","6","","18","","","","101.11","","","","-16","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 14:00","2021","02","01","14:00","-7.4","","-15.0","","55","","","","6","","16","","","","101.05","","","","-14","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 15:00","2021","02","01","15:00","-7.2","","-14.6","","55","","","","8","","21","","","","101.06","","","","-15","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 16:00","2021","02","01","16:00","-6.4","","-14.6","","52","","","","4","","14","","","","100.97","","","","-12","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 17:00","2021","02","01","17:00","-8.5","","-14.2","","64","","","","6","","11","","","","100.99","","","","-14","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 18:00","2021","02","01","18:00","-10.4","","-14.3","","73","","","","7","","14","","","","101.04","","","","-17","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 19:00","2021","02","01","19:00","-9.0","","-13.7","","68","","","","6","","14","","","","101.02","","","","-15","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 20:00","2021","02","01","20:00","-9.8","","-13.2","","76","","","","6","","10","","","","100.97","","","","-15","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 21:00","2021","02","01","21:00","-7.7","","-12.7","","68","","","","4","","11","","","","100.92","","","","-13","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 22:00","2021","02","01","22:00","-11.9","","-15.6","","74","","","","34","","6","","","","100.89","","","","-16","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-01 23:00","2021","02","01","23:00","-14.8","","-16.5","","87","","","","2","","3","","","","100.82","","","","-17","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-02 00:00","2021","02","02","00:00","-7.0","","-10.8","","74","","","","5","","14","","","","100.77","","","","-13","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-02 01:00","2021","02","02","01:00","-6.6","","-10.2","","75","","","","4","","18","","","","100.69","","","","-13","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-02 02:00","2021","02","02","02:00","-7.0","","-10.1","","78","","","","4","","14","","","","100.64","","","","-13","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-02 03:00","2021","02","02","03:00","-6.0","","-8.6","","82","","","","6","","18","","","","100.59","","","","-12","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-02 04:00","2021","02","02","04:00","-5.2","","-7.8","","82","","","","5","","20","","","","100.51","","","","-12","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-02 05:00","2021","02","02","05:00","-4.9","","-8.0","","79","","","","5","","14","","","","100.48","","","","-10","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-02 06:00","2021","02","02","06:00","-6.9","","-9.2","","84","","","","35","","9","","","","100.38","","","","-11","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-02 07:00","2021","02","02","07:00","-6.0","","-8.6","","82","","","","36","","9","","","","100.32","","","","-10","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-02 08:00","2021","02","02","08:00","-6.8","","-9.0","","84","","","","32","","7","","","","100.28","","","","-10","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-02 09:00","2021","02","02","09:00","-4.4","","-8.4","","74","","","","36","","7","","","","100.19","","","","-8","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-02 10:00","2021","02","02","10:00","-2.7","","-8.9","","62","","","","4","","12","","","","100.13","","","","-7","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-02 11:00","2021","02","02","11:00","-2.3","","-9.5","","57","","","","4","","12","","","","100.02","","","","-7","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-02 12:00","2021","02","02","12:00","-3.1","","-5.7","","83","","","","4","","16","","","","99.91","","","","-8","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-02-02 13:00","2021","02","02","13:00","-2.8","","-4.2","","90","","","","4","","12","","","","99.81","","","","-7","","NA"
