"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 00:00","2017","01","01","00:00","-4.2","","-4.5","","98","","","M","7","","5","","","","99.24","","","","-6","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 01:00","2017","01","01","01:00","0.9","","0.3","","96","","","M","21","","13","","","","99.26","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 02:00","2017","01","01","02:00","1.1","","0.4","","95","","","M","19","","10","","","","99.32","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 03:00","2017","01","01","03:00","1.1","","0.4","","95","","","M","20","","11","","","","99.39","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 04:00","2017","01","01","04:00","1.3","","0.0","","91","","","M","23","","16","","","","99.51","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 05:00","2017","01","01","05:00","1.3","","-1.1","","84","","","M","24","","19","","","","99.66","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 06:00","2017","01","01","06:00","-1.3","","-4.0","","82","","","M","27","","21","","","","99.92","","","","-7","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 07:00","2017","01","01","07:00","-2.7","","-5.9","","78","","","M","27","","18","","","","100.17","","","","-8","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 08:00","2017","01","01","08:00","-4.4","","-7.7","","78","","","M","28","","17","","","","100.42","","","","-10","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 09:00","2017","01","01","09:00","-5.6","","-9.8","","73","","","M","26","","17","","","","100.62","","","","-12","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 10:00","2017","01","01","10:00","-5.7","","-9.6","","74","","","M","27","","13","","","","100.75","","","","-11","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 11:00","2017","01","01","11:00","-5.2","","-9.7","","71","","","M","25","","14","","","","100.84","","","","-11","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 12:00","2017","01","01","12:00","-4.5","","-9.5","","68","","","M","24","","14","","","","100.93","","","","-10","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 13:00","2017","01","01","13:00","-3.3","","-8.5","","67","","","M","26","","15","","","","101.00","","","","-8","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 14:00","2017","01","01","14:00","-2.6","","-7.9","","67","","","M","26","","9","","","","101.09","","","","-6","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 15:00","2017","01","01","15:00","-1.9","","-7.3","","66","","","M","25","","5","","","","101.15","","","","-4","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 16:00","2017","01","01","16:00","-2.4","","-7.1","","70","","","M","","","0","","","","101.21","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 17:00","2017","01","01","17:00","-3.9","","-5.8","","86","","","M","8","","3","","","","101.34","","","","-5","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 18:00","2017","01","01","18:00","-5.4","","-6.6","","91","","","M","","","0","","","","101.47","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 19:00","2017","01","01","19:00","-8.9","","-10.5","","89","","","M","","","0","","","","101.54","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 20:00","2017","01","01","20:00","-7.9","","-9.1","","91","","","M","16","","3","","","","101.57","","","","-9","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 21:00","2017","01","01","21:00","-9.1","","-9.6","","96","","","M","17","","4","","","","101.59","","","","-11","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 22:00","2017","01","01","22:00","-10.3","","-10.7","","97","","","M","17","","4","","","","101.64","","","","-13","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-01 23:00","2017","01","01","23:00","-9.9","","-10.6","","95","","","M","","","0","","","","101.77","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-02 00:00","2017","01","02","00:00","-8.6","","-9.0","","97","","","M","17","","5","","","","101.79","","","","-11","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-02 01:00","2017","01","02","01:00","-10.9","","-11.6","","94","","","M","18","","4","","","","101.79","","","","-13","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-02 02:00","2017","01","02","02:00","-12.0","","-12.8","","94","","","M","17","","4","","","","101.85","","","","-15","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-02 03:00","2017","01","02","03:00","-12.3","","-13.1","","93","","","M","18","","3","","","","101.92","","","","-14","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-02 04:00","2017","01","02","04:00","-12.5","","-13.6","","92","","","M","","","0","","","","101.98","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-02 05:00","2017","01","02","05:00","-13.8","","-14.8","","92","","","M","","","0","","","","102.04","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-02 06:00","2017","01","02","06:00","-12.7","","-13.6","","93","","","M","","","0","","","","102.05","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-01-02 07:00","2017","01","02","07:00","-12.1","","-13.0","","93","","","M","9","","4","","","","102.05","","","","-15","","NA"
