"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-03-01 00:00","2021","03","01","00:00","2.1","","-0.7","","82","","0.0","","14","","6","","","","99.30","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-03-01 01:00","2021","03","01","01:00","2.3","","-0.2","","84","","0.0","","15","","15","","","","99.09","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-03-01 02:00","2021","03","01","02:00","2.9","","0.6","","85","","0.0","","18","","6","","","","98.96","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-03-01 03:00","2021","03","01","03:00","5.3","","3.9","","90","","1.6","","21","","11","","","","98.79","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-03-01 04:00","2021","03","01","04:00","4.6","","3.9","","95","","1.6","","22","","11","","","","98.81","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-03-01 05:00","2021","03","01","05:00","4.1","","3.6","","97","","0.2","","22","","9","","","","98.80","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-03-01 06:00","2021","03","01","06:00","4.2","","3.6","","96","","0.0","","23","","13","","","","98.83","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-03-01 07:00","2021","03","01","07:00","4.2","","2.9","","91","","0.0","","24","","14","","","","98.88","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-03-01 08:00","2021","03","01","08:00","3.5","","1.9","","89","","0.0","","25","","14","","","","98.93","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-03-01 09:00","2021","03","01","09:00","3.5","","0.3","","79","","0.0","","27","","12","","","","99.02","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-03-01 10:00","2021","03","01","10:00","3.5","","-1.0","","73","","0.0","","25","","16","","","","99.04","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-03-01 11:00","2021","03","01","11:00","3.6","","-1.9","","67","","0.0","","26","","18","","","","99.03","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-03-01 12:00","2021","03","01","12:00","1.1","","-3.5","","72","","0.6","","30","","17","","","","99.11","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-03-01 13:00","2021","03","01","13:00","0.1","","-7.3","","57","","","","29","","20","","","","99.15","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2021-03-01 14:00","2021","03","01","14:00","-1.6","","-10.7","","50","","","","30","","26","","","","99.22","","","","-8","","NA"
