"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 00:00","2017","02","01","00:00","-11.6","","-14.6","","78","","","M","7","","23","","","","99.79","","","","-20","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 01:00","2017","02","01","01:00","-11.9","","-14.7","","80","","","M","8","","18","","","","99.78","","","","-20","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 02:00","2017","02","01","02:00","-11.9","","-14.4","","82","","","M","6","","14","","","","99.79","","","","-19","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 03:00","2017","02","01","03:00","-11.9","","-13.8","","86","","","M","6","","13","","","","99.79","","","","-19","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 04:00","2017","02","01","04:00","-11.8","","-13.3","","89","","","M","5","","9","","","","99.78","","","","-17","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 05:00","2017","02","01","05:00","-11.9","","-13.3","","89","","","M","5","","9","","","","99.76","","","","-17","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 06:00","2017","02","01","06:00","-11.9","","-13.4","","89","","","M","5","","9","","","","99.76","","","","-17","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 07:00","2017","02","01","07:00","-12.3","","-13.7","","89","","","M","6","","8","","","","99.78","","","","-17","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 08:00","2017","02","01","08:00","-13.4","","-14.8","","89","","","M","7","","4","","","","99.83","","","","-16","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 09:00","2017","02","01","09:00","-12.0","","-13.9","","86","","","M","6","","4","","","","99.87","","","","-15","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 10:00","2017","02","01","10:00","-11.0","","-13.4","","83","","","M","4","","4","","","","99.89","","","","-13","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 11:00","2017","02","01","11:00","-9.9","","-12.7","","80","","","M","8","","3","","","","99.90","","","","-12","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 12:00","2017","02","01","12:00","-8.8","","-12.5","","74","","","M","","","0","","","","99.88","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 13:00","2017","02","01","13:00","-8.3","","-11.4","","79","","","M","14","","4","","","","99.86","","","","-10","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 14:00","2017","02","01","14:00","-8.6","","-11.9","","77","","","M","27","","6","","","","99.89","","","","-12","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 15:00","2017","02","01","15:00","-7.2","","-11.1","","73","","","M","26","","9","","","","99.95","","","","-12","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 16:00","2017","02","01","16:00","-6.9","","-11.2","","71","","","M","26","","6","","","","100.04","","","","-10","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 17:00","2017","02","01","17:00","-11.7","","-14.3","","81","","","M","","","0","","","","100.09","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 18:00","2017","02","01","18:00","-9.9","","-11.0","","91","","","M","7","","3","","","","100.13","","","","-12","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 19:00","2017","02","01","19:00","-7.9","","-9.7","","87","","","M","","","0","","","","100.15","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 20:00","2017","02","01","20:00","-7.9","","-9.8","","86","","","M","","","0","","","","100.19","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 21:00","2017","02","01","21:00","-8.5","","-9.8","","90","","","M","","","0","","","","100.22","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 22:00","2017","02","01","22:00","-9.0","","-10.4","","90","","","M","","","0","","","","100.19","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-01 23:00","2017","02","01","23:00","-8.5","","-10.0","","89","","","M","","","0","","","","100.15","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-02 00:00","2017","02","02","00:00","-7.6","","-9.1","","89","","","M","","","0","","","","100.15","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-02 01:00","2017","02","02","01:00","-7.7","","-9.3","","88","","","M","24","","5","","","","100.13","","","","-10","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-02 02:00","2017","02","02","02:00","-6.2","","-8.6","","83","","","M","30","","6","","","","100.20","","","","-9","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-02 03:00","2017","02","02","03:00","-7.6","","-9.2","","88","","","M","27","","7","","","","100.25","","","","-11","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-02 04:00","2017","02","02","04:00","-6.7","","-10.2","","76","","","M","28","","17","","","","100.29","","","","-13","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-02 05:00","2017","02","02","05:00","-7.9","","-12.3","","70","","","M","27","","10","","","","100.38","","","","-13","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-02 06:00","2017","02","02","06:00","-10.5","","-13.5","","78","","","M","26","","11","","","","100.44","","","","-16","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-02 07:00","2017","02","02","07:00","-12.3","","-15.3","","78","","","M","26","","9","","","","100.53","","","","-18","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-02 08:00","2017","02","02","08:00","-13.8","","-16.4","","81","","","M","26","","9","","","","100.65","","","","-19","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-02 09:00","2017","02","02","09:00","-13.4","","-16.3","","78","","","M","26","","10","","","","100.69","","","","-19","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-02 10:00","2017","02","02","10:00","-12.9","","-16.3","","75","","","M","26","","7","","","","100.70","","","","-17","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2017-02-02 11:00","2017","02","02","11:00","-11.3","","-16.1","","67","","","M","27","","10","","","","100.71","","","","-17","","NA"
