"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 00:00","2020","01","01","00:00","-0.7","","-1.3","","96","","","","","","0","","","","98.63","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 01:00","2020","01","01","01:00","-0.5","","-1.0","","96","","","","","","0","","","","98.63","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 02:00","2020","01","01","02:00","-0.6","","-1.4","","94","","","","","","0","","","","98.65","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 03:00","2020","01","01","03:00","-0.5","","-1.8","","91","","","","","","0","","","","98.68","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 04:00","2020","01","01","04:00","-0.7","","-2.1","","90","","","","","","0","","","","98.69","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 05:00","2020","01","01","05:00","-0.8","","-2.5","","88","","","","","","0","","","","98.70","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 06:00","2020","01","01","06:00","-0.8","","-1.9","","92","","","","","","0","","","","98.74","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 07:00","2020","01","01","07:00","-0.4","","-1.5","","93","","","","","","0","","","","98.77","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 08:00","2020","01","01","08:00","-0.3","","-1.2","","94","","","","","","0","","","","98.84","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 09:00","2020","01","01","09:00","-0.2","","-0.9","","95","","","","25","","11","","","","98.92","","","","-4","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 10:00","2020","01","01","10:00","-0.1","","-1.0","","94","","","","25","","13","","","","98.99","","","","-4","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 11:00","2020","01","01","11:00","-0.1","","-1.1","","94","","","","25","","13","","","","99.01","","","","-4","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 12:00","2020","01","01","12:00","0.0","","-1.2","","92","","","","24","","13","","","","99.00","","","","-4","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 13:00","2020","01","01","13:00","0.1","","-1.1","","92","","","","24","","10","","","","98.99","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 14:00","2020","01","01","14:00","0.2","","-0.5","","95","","","","25","","10","","","","99.04","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 15:00","2020","01","01","15:00","0.4","","0.1","","98","","","","25","","9","","","","99.11","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 16:00","2020","01","01","16:00","0.7","","-0.1","","95","","0.2","","25","","9","","","","99.20","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 17:00","2020","01","01","17:00","0.3","","-0.3","","96","","","","25","","9","","","","99.28","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 18:00","2020","01","01","18:00","0.4","","-0.6","","93","","","","24","","12","","","","99.35","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 19:00","2020","01","01","19:00","0.2","","-1.5","","88","","","","24","","13","","","","99.40","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 20:00","2020","01","01","20:00","0.1","","-2.2","","85","","","","24","","13","","","","99.44","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 21:00","2020","01","01","21:00","-0.3","","-2.0","","88","","","","26","","12","","","","99.48","","","","-4","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 22:00","2020","01","01","22:00","-0.4","","-2.6","","85","","","","25","","11","","","","99.54","","","","-4","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-01 23:00","2020","01","01","23:00","-0.5","","-3.1","","83","","","","25","","11","","","","99.57","","","","-4","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-02 00:00","2020","01","02","00:00","-0.6","","-3.2","","83","","","","23","","10","","","","99.57","","","","-4","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-02 01:00","2020","01","02","01:00","-0.7","","-3.7","","80","","","","25","","10","","","","99.61","","","","-4","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-02 02:00","2020","01","02","02:00","-1.6","","-4.2","","83","","","","24","","9","","","","99.64","","","","-5","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-02 03:00","2020","01","02","03:00","-2.3","","-4.5","","85","","","","22","","5","","","","99.65","","","","-4","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-02 04:00","2020","01","02","04:00","-2.5","","-4.8","","85","","","","20","","3","","","","99.65","","","","-4","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-02 05:00","2020","01","02","05:00","-2.2","","-4.5","","84","","","","","","0","","","","99.64","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-02 06:00","2020","01","02","06:00","-2.3","","-3.6","","91","","","","15","","6","","","","99.60","","","","-5","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-02 07:00","2020","01","02","07:00","-1.8","","-3.0","","92","","","","16","","5","","","","99.59","","","","-4","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-02 08:00","2020","01","02","08:00","-1.4","","-3.2","","88","","","","19","","5","","","","99.62","","","","-3","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-02 09:00","2020","01","02","09:00","-0.7","","-2.7","","87","","","","","","0","","","","99.62","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-02 10:00","2020","01","02","10:00","0.6","","-2.1","","82","","0.0","","19","","6","","","","99.63","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-02 11:00","2020","01","02","11:00","1.6","","-1.5","","80","","0.4","","17","","5","","","","99.56","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-02 12:00","2020","01","02","12:00","3.1","","-1.2","","73","","1.0","","20","","9","","","","99.47","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-02 13:00","2020","01","02","13:00","3.7","","-1.1","","71","","0.8","","19","","10","","","","99.37","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-02 14:00","2020","01","02","14:00","3.9","","-1.2","","70","","0.0","","19","","9","","","","99.35","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-02 15:00","2020","01","02","15:00","3.5","","-1.2","","71","","0.0","","18","","10","","","","99.30","","","","","","NA"
"-74.96","45.25","MOOSE CREEK WELLS","6105397","2020-01-02 16:00","2020","01","02","16:00","3.5","","-0.9","","73","","0.0","","19","","9","","","","99.35","","","","","","NA"
